Aluguel,Extras,Localização,Tamanho,Quartos,Banheiros,Link,Bairro
R$ 2.900 /mês,0.0,"Avenida Praia de Ponta Negra, 9152 - Ponta Negra, Natal - RN",38,1 Quarto,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-1-quartos-ponta-negra-bairros-natal-com-garagem-38m2-aluguel-RS2900-id-2747432005/,Ponta Negra
R$ 2.900 /mês,0.0,"Rua Poeta Jorge Fernandes, 2205 - Ponta Negra, Natal - RN",58,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-58m2-aluguel-RS2900-id-2746187234/,Ponta Negra
R$ 900 /mês,130.0,"Rua Prefeito Expedito Alves, 1524 - Capim Macio, Natal - RN",55,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-capim-macio-bairros-natal-com-garagem-55m2-aluguel-RS900-id-2742729978/,Capim Macio
R$ 2.200 /mês,0.0,"Rua José Mauro de Vasconcelos, 1915 - Capim Macio, Natal - RN",78,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-capim-macio-bairros-natal-com-garagem-78m2-aluguel-RS2200-id-2565812384/,Capim Macio
R$ 1.650 /mês,960.0,"Travessa Alda Ramalho Pereira, 1009 - Tirol, Natal - RN",138,3 Quartos,4 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-tirol-bairros-natal-com-garagem-138m2-aluguel-RS1650-id-2746227909/,Tirol
"R$ 1.800 /mês
Preço abaixo do mercado",0.0,"Avenida Porto de Pedras, 4500 - Neópolis, Natal - RN",56,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-neopolis-bairros-natal-com-garagem-56m2-aluguel-RS1800-id-2615789122/,Neópolis
R$ 1.400 /mês,0.0,"Travessa Adolfo Gordo, 1331 - Cidade da Esperança, Natal - RN",65,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-cidade-da-esperanca-bairros-natal-com-garagem-65m2-aluguel-RS1400-id-2747735194/,Cidade da Esperança
R$ 2.800 /mês,0.0,"Avenida Praia de Ponta Negra - Ponta Negra, Natal - RN",58,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-58m2-aluguel-RS2800-id-2746239811/,Ponta Negra
R$ 1.700 /mês,0.0,"Rua Professor Pedro Pinheiro de Souza, 95 - Ponta Negra, Natal - RN",49,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-49m2-aluguel-RS1700-id-2730263863/,Ponta Negra
"R$ 2.000 /mês
Preço abaixo do mercado",0.0,"Rua Doutor Osvaldo Fortes do Rego, 155 - Ponta Negra, Natal - RN",54,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-54m2-aluguel-RS2000-id-2566129853/,Ponta Negra
R$ 2.100 /mês,0.0,"Rua Joaquim Eduardo de Farias, 212 - Ponta Negra, Natal - RN",56,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-56m2-aluguel-RS2100-id-2746703104/,Ponta Negra
R$ 1.000 /mês,350.0,"Rua Manoel Alves - Ponta Negra, Natal - RN",58,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-58m2-aluguel-RS1000-id-2730390444/,Ponta Negra
"R$ 1.600 /mês
Preço abaixo do mercado",769.0,"Rua Ataulfo Alves, 1898 - Candelária, Natal - RN",65,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-candelaria-bairros-natal-com-garagem-65m2-aluguel-RS1600-id-2744235767/,Candelária
"R$ 2.000 /mês
Preço abaixo do mercado",0.0,"Ponta Negra, Natal - RN",56,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-56m2-aluguel-RS2000-id-2746842814/,Ponta Negra
R$ 3.000 /mês,0.0,"Rua da Saudade, 838 - Lagoa Nova, Natal - RN",60,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lagoa-nova-bairros-natal-com-garagem-60m2-aluguel-RS3000-id-2735759121/,Lagoa Nova
R$ 2.100 /mês,400.0,"Rua Jornalista Haroldo Gurgel - Lagoa Nova, Natal - RN",65,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lagoa-nova-bairros-natal-com-garagem-65m2-aluguel-RS2100-id-2746299919/,Lagoa Nova
R$ 1.600 /mês,0.0,"Rua Lauro Medeiros, 1908 - Lagoa Nova, Natal - RN",80,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lagoa-nova-bairros-natal-com-garagem-80m2-aluguel-RS1600-id-2747155999/,Lagoa Nova
R$ 2.000 /mês,0.0,"Rua Doutor Nizário Gurgel, 65 - Tirol, Natal - RN",57,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-tirol-bairros-natal-com-garagem-57m2-aluguel-RS2000-id-2600910453/,Tirol
R$ 2.250 /mês,1.0,"Avenida Prudente de Morais, 4095 - Lagoa Nova, Natal - RN",56,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lagoa-nova-bairros-natal-com-garagem-56m2-aluguel-RS2250-id-2666197712/,Lagoa Nova
R$ 1.700 /mês,0.0,"Rua Doutor Manoel Augusto Bezerra de Araújo, 175 - Ponta Negra, Natal - RN",60,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-60m2-aluguel-RS1700-id-2506001306/,Ponta Negra
"R$ 2.000 /mês
Preço abaixo do mercado",0.0,"Rua Doutor Osvaldo Fortes do Rego, 155 - Ponta Negra, Natal - RN",53,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-53m2-aluguel-RS2000-id-2746813438/,Ponta Negra
R$ 950 /mês,0.0,"Avenida dos Caiapós, 3063 - Pitimbu, Natal - RN",50,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-pitimbu-bairros-natal-com-garagem-50m2-aluguel-RS950-id-2745573397/,Pitimbu
R$ 1.500 /mês,0.0,"Avenida Poços de Caldas, 800 - Ponta Negra, Natal - RN",45,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-45m2-aluguel-RS1500-id-2747731440/,Ponta Negra
R$ 1.750 /mês,0.0,"Rua Edson Teixeira da Silva, 270 - Ponta Negra, Natal - RN",54,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-54m2-aluguel-RS1750-id-2741128667/,Ponta Negra
R$ 1.700 /mês,1.0,"Avenida Hermes da Fonseca, 1288 - Tirol, Natal - RN",70,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-tirol-bairros-natal-com-garagem-70m2-aluguel-RS1700-id-2747400301/,Tirol
R$ 1.900 /mês,0.0,"Rua Pantanal, 170 - Neópolis, Natal - RN",63,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-neopolis-bairros-natal-com-garagem-63m2-aluguel-RS1900-id-2745030121/,Neópolis
R$ 2.100 /mês,0.0,"Rua Joaquim Eduardo de Farias, 213 - Neópolis, Natal - RN",56,1 Quarto,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-1-quartos-neopolis-bairros-natal-56m2-aluguel-RS2100-id-2746930887/,Neópolis
R$ 615 /mês,210.0,"Rua Santa Inês, 255 - Pajuçara, Natal - RN",45,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-pajucara-bairros-natal-com-garagem-45m2-aluguel-RS615-id-2745249639/,Pajuçara
R$ 3.000 /mês,0.0,"Avenida Deputado Antônio Florêncio de Queiroz, 2995 - Ponta Negra, Natal - RN",59,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-59m2-aluguel-RS3000-id-2746212727/,Ponta Negra
R$ 2.000 /mês,570.0,"Rua Desembargador Sinval Moreira Dias - Morro Branco, Natal - RN",80,3 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-3-quartos-morro-branco-bairros-natal-com-garagem-80m2-aluguel-RS2000-id-2737159634/,Morro Branco
R$ 2.000 /mês,0.0,"Rua Desembargador Dionísio Filgueira, 777 - Petrópolis, Natal - RN",56,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-petropolis-bairros-natal-com-garagem-56m2-aluguel-RS2000-id-2743618756/,Petrópolis
R$ 3.000 /mês,0.0,"Lagoa Seca, Natal - RN",132,3 Quartos,3 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-lagoa-seca-bairros-natal-com-garagem-132m2-aluguel-RS3000-id-2746107393/,Lagoa Seca
R$ 1.800 /mês,650.0,"Ponta Negra, Natal - RN",58,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-58m2-aluguel-RS1800-id-2725753176/,Ponta Negra
R$ 2.300 /mês,0.0,"Rua José Mauro de Vasconcelos, 1915 - Capim Macio, Natal - RN",70,3 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-3-quartos-capim-macio-bairros-natal-com-garagem-70m2-aluguel-RS2300-id-2710047607/,Capim Macio
R$ 1.400 /mês,0.0,"Rua Joaquim Eduardo de Farias, 105 - Ponta Negra, Natal - RN",56,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-56m2-aluguel-RS1400-id-2746542811/,Ponta Negra
R$ 2.000 /mês,0.0,"Rua Doutor Osvaldo Fortes do Rego, 155 - Ponta Negra, Natal - RN",55,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-55m2-aluguel-RS2000-id-2746004697/,Ponta Negra
R$ 1.300 /mês,0.0,"Rua Doutor José Tavares da Silva, 1408 - Candelária, Natal - RN",90,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-candelaria-bairros-natal-com-garagem-90m2-aluguel-RS1300-id-2746790746/,Candelária
"R$ 1.400 /mês
Preço abaixo do mercado",345.0,"Rua Joaquim Eduardo de Farias, 105 - Ponta Negra, Natal - RN",88,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-88m2-aluguel-RS1400-id-2745240320/,Ponta Negra
R$ 2.700 /mês,0.0,"Avenida Praia de Pirangi, 2230 - Ponta Negra, Natal - RN",52,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-52m2-aluguel-RS2700-id-2722267454/,Ponta Negra
R$ 2.100 /mês,665.0,"Rua Florença, 2434 - Ponta Negra, Natal - RN",66,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-66m2-aluguel-RS2100-id-2745249632/,Ponta Negra
R$ 750 /mês,315.0,"Avenida Santa Luzia - PARNAMIRIM, Parnamirim - RN",70,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-parnamirim-bairros-natal-com-garagem-70m2-aluguel-RS750-id-2705495013/,PARNAMIRIM
R$ 2.800 /mês,0.0,"Rua Professor Pedro Pinheiro de Souza, 95 - Ponta Negra, Natal - RN",56,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-56m2-aluguel-RS2800-id-2716409226/,Ponta Negra
R$ 2.300 /mês,0.0,"Rua General Gustavo Cordeiro de Faria, 345 - Petrópolis, Natal - RN",58,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-petropolis-bairros-natal-com-garagem-58m2-aluguel-RS2300-id-2743022690/,Petrópolis
R$ 1.300 /mês,0.0,"Rua Ilha das Flores, 215 - Redinha, Natal - RN",83,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-redinha-bairros-natal-com-garagem-83m2-aluguel-RS1300-id-2657058370/,Redinha
R$ 1.600 /mês,0.0,"Rua Joaquim Fagundes, 1288 - Barro Vermelho, Natal - RN",70,3 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-3-quartos-barro-vermelho-bairros-natal-com-garagem-70m2-aluguel-RS1600-id-2744906403/,Barro Vermelho
R$ 2.450 /mês,0.0,"Rua Doutor Múcio Galvão, 411 - Barro Vermelho, Natal - RN",59,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-barro-vermelho-bairros-natal-com-garagem-59m2-aluguel-RS2450-id-2660454579/,Barro Vermelho
R$ 2.000 /mês,0.0,"Avenida Almirante Alexandrino de Alencar, 900 - Lagoa Seca, Natal - RN",50,2 Quartos,1 Banheiro,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lagoa-seca-bairros-natal-com-garagem-50m2-aluguel-RS2000-id-2719864300/,Lagoa Seca
R$ 2.900 /mês,0.0,"Rua Poeta Jorge Fernandes - Ponta Negra, Natal - RN",58,2 Quartos,2 Banheiros,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ponta-negra-bairros-natal-com-garagem-58m2-aluguel-RS2900-id-2733746922/,Ponta Negra
